"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","id","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","conflict","confrt","participant"
"1855",-1,-1,4.63209999990431,-1,-1,-1,1,-1,1.04967196025546,0.97132558671255,5.00024123418899,1.2141602531312,54,19726,0,"OR1",4.63209999990431,5.00024123418899,2.05884975857205,3.92185530082259,5.00024123418899,0.97132558671255,1.2141602531312,1.04967196025546,TRUE,4,4.7894,19726
"1856",-1,-1,1.53200000000015,-1,-1,-1,1,-1,6.97370062934028,3.94396488250248,2.84243532211061,4.06197587270585,55,19726,0,"OR1",1.53200000000015,2.84243532211061,4.45551917666481,3.35757527023396,6.97370062934028,2.84243532211061,4.06197587270585,3.94396488250248,FALSE,1,3.9693,19726
"1857",-1,14.0900000000001,-1,-1,-1,1,-1,-1,9.96458604600694,6.03726438492064,0.075736878410218,6.002684578063,56,19726,0,"OR1",14.0900000000001,6.03726438492064,5.5200679718502,5.92602409887566,9.96458604600694,0.075736878410218,6.03726438492064,6.002684578063,FALSE,3,5.627,19726
"1858",-1,-1,-1,6.46149999999989,-1,-1,-1,1,3.0118175688244,2.04935031467014,3.02537512400794,0,57,19726,0,"OR1",6.46149999999989,0,2.02163575187562,1.33831916284309,3.02537512400794,0,3.0118175688244,2.04935031467014,FALSE,2,5.2894,19726
"1859",4.23070000004782,-1,-1,-1,1,-1,-1,-1,10,1.92036849733383,2.06185283358135,3.0955568343874,58,19726,0,"OR1",4.23070000004782,10,4.26944454132564,7.64074061156581,10,1.92036849733383,3.0955568343874,2.06185283358135,TRUE,1,3.5193,19726
"1860",-1,-1,-1,4.99829999995245,-1,-1,-1,1,6.00788903614831,5.86454264322917,5.15545654296875,5.8923824249752,59,19726,0,"OR1",4.99829999995245,5.8923824249752,5.73006766183036,0.370428499090608,6.00788903614831,5.15545654296875,5.8923824249752,5.86454264322917,FALSE,4,6.0721,19726
"1861",-1,-1,-1,1.62839999997595,-1,-1,-1,1,3.0118175688244,5.04356844463046,7.93763563368056,2.84243532211061,60,19726,0,"OR1",1.62839999997595,2.84243532211061,4.70886424231151,4.3050285218254,7.93763563368056,2.84243532211061,5.04356844463046,3.0118175688244,FALSE,1,4.0151,19726
"1862",-1,-1,1.13120000004756,-1,-1,-1,1,-1,5.88044181702629,7.89161318824405,10,5.87438092912946,61,19726,0,"OR1",1.13120000004756,10,7.41160898359995,3.45118802186673,10,5.87438092912946,7.89161318824405,5.88044181702629,TRUE,1,3.2679,19726
"1863",-1,3.36460000002353,-1,-1,-1,1,-1,-1,2.04935031467014,10,1.91126747736855,1.89676436166915,62,19726,0,"OR1",3.36460000002353,10,3.96434553842696,8.04753928209739,10,1.89676436166915,2.04935031467014,1.91126747736855,TRUE,1,3.4275,19726
"1864",-1,11.6962999999523,-1,-1,-1,1,-1,-1,4.94669693235367,3.02139330667163,4.96313670324901,3.99722532242063,63,19726,0,"OR1",11.6962999999523,3.02139330667163,4.23211306617373,0.97469818276703,4.96313670324901,3.02139330667163,4.94669693235367,3.99722532242063,FALSE,1,3.3593,19726
"1865",-1,-1,2.66579999995247,-1,-1,-1,1,-1,1.97987971230159,1.97943890283978,8.90820506262401,1.04967196025546,64,19726,0,"OR1",2.66579999995247,8.90820506262401,3.47929890950521,7.23854153749173,8.90820506262401,1.04967196025546,1.97987971230159,1.97943890283978,TRUE,1,3.0959,19726
"1866",-1,-1,11.3423000000712,-1,-1,-1,1,-1,0.97132558671255,0,1.93118722098214,2.9961925688244,65,19726,0,"OR1",11.3423000000712,1.93118722098214,1.47467634412977,2.02868829959284,2.9961925688244,0,1.93118722098214,0.97132558671255,FALSE,1,2.9896,19726
"1867",-1,2.16860000002407,-1,-1,-1,1,-1,-1,8.94029889787946,9.86293635292659,8.94190034412203,8.9908699156746,66,19726,0,"OR1",2.16860000002407,9.86293635292659,9.18400137765067,0.905246633701225,9.86293635292659,8.94029889787946,8.9908699156746,8.94190034412203,TRUE,1,3.0088,19726
"1868",3.29729999995243,-1,-1,-1,1,-1,-1,-1,1.98448350694444,0.075736878410218,1.99263993520585,1.2141602531312,67,19726,0,"OR1",3.29729999995243,1.98448350694444,1.31675514342293,0.901179722377232,1.99263993520585,0.075736878410218,1.98448350694444,1.2141602531312,FALSE,1,6.0916,19726
"1869",-1,-1,13.1255000000001,-1,-1,-1,1,-1,7.88848876953125,9.0569835844494,7.05432710193452,7.93763563368056,68,19726,0,"OR1",13.1255000000001,7.05432710193452,7.98435877239893,1.43016641606729,9.0569835844494,7.05432710193452,7.93763563368056,7.88848876953125,FALSE,2,4.9779,19726
"1870",-1,8.82870000004777,-1,-1,-1,1,-1,-1,1.91914391896081,5.00024123418899,1.91126747736855,3.02537512400794,69,19726,0,"OR1",8.82870000004777,5.00024123418899,2.96400693863157,2.71497906074322,5.00024123418899,1.91126747736855,3.02537512400794,1.91914391896081,TRUE,4,4.3885,19726
"1871",-1,-1,-1,-1,-1,-1,-1,-1,6.018309578063,5.97653537326389,6.05227806454613,5.87438092912946,70,19726,0,"OR1",-1,-1,5.98037598625062,0.0958694377273464,6.05227806454613,5.87438092912946,6.018309578063,5.97653537326389,FALSE,5,7.4343,19726
"1872",-1,-1,1.76710000002413,-1,-1,-1,1,-1,4.01033625527034,5.86454264322917,10,2.06185283358135,71,19726,0,"OR1",1.76710000002413,10,5.48418293302021,6.02108942263972,10,2.06185283358135,5.86454264322917,4.01033625527034,TRUE,1,4.2913,19726
"1873",-1,-1,-1,6.59799999999996,-1,-1,-1,1,3.99722532242063,5.99871535528274,10,6.86326671781994,72,19726,0,"OR1",6.59799999999996,6.86326671781994,6.71480184888083,4.38026420149223,10,3.99722532242063,6.86326671781994,5.99871535528274,FALSE,2,8.1422,19726
"1874",-1,3.86339999997608,-1,-1,-1,1,-1,-1,1.97943890283978,1.98448350694444,2.9961925688244,1.89676436166915,73,19726,0,"OR1",3.86339999997608,1.98448350694444,2.21421983506944,1.04263031167328,2.9961925688244,1.89676436166915,1.98448350694444,1.97943890283978,FALSE,1,5.0366,19726
"1875",-1,3.4971999999284,-1,-1,-1,1,-1,-1,7.89161318824405,9.0058351546999,6.94353666759673,8.07620287698413,74,19726,0,"OR1",3.4971999999284,9.0058351546999,7.9792969718812,1.3687175770916,9.0058351546999,6.94353666759673,8.07620287698413,7.89161318824405,TRUE,1,2.9089,19726
"1876",-1,1.94929999995247,-1,-1,-1,1,-1,-1,0,7.97989133804563,1.99263993520585,0.075736878410218,75,19726,0,"OR1",1.94929999995247,7.97989133804563,2.51206703791543,7.29043240017361,7.97989133804563,0,1.99263993520585,0.075736878410218,TRUE,1,3.5772,19726
