"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict"
"51",3.37580000001208,-1,-1,-1,1,-1,-1,-1,9.14140625,8.919775390625,9.968798828125,9.08427734375,0,50,"5589be79fdf99b18be320155",0.2757,3.37580000001208,9.14140625,9.278564453125,0.478385416666667,9.968798828125,8.919775390625,9.14140625,9.08427734375,1,0,10,FALSE,TRUE,FALSE,FALSE,"OR",3
"52",-1,1.74559999999406,-1,-1,-1,1,-1,-1,9.95712890625,4.02626953125,9.96376953125,8.881591796875,0,51,"5589be79fdf99b18be320155",0.3675,1.74559999999406,4.02626953125,8.20718994140625,5.574560546875,9.96376953125,4.02626953125,9.95712890625,8.881591796875,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"53",0.914900000006128,-1,-1,-1,1,-1,-1,-1,1.033154296875,0.0459472656249998,0.0120605468750001,1.08720703125,1,52,"5589be79fdf99b18be320155",2.3951,0.914900000006128,1.033154296875,0.54459228515625,0.710042317708333,1.08720703125,0.0120605468750001,1.033154296875,0.0459472656249998,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",1
"54",-1,2.75940000000605,1.37980000001198,2.061800000012,-1,3,1,2,2.835107421875,0.99775390625,1.033154296875,0.0201171875,0,53,"5589be79fdf99b18be320155",1.6334,1.37980000001198,1.033154296875,1.221533203125,1.60188802083333,2.835107421875,0.0201171875,1.033154296875,0.99775390625,3,0,10,FALSE,TRUE,FALSE,FALSE,"OR",1
"55",-1,3.22600000000011,-1,-1,-1,1,-1,-1,9.98955078125,3.940380859375,8.980419921875,7.9078125,0,54,"5589be79fdf99b18be320155",0.4205,3.22600000000011,3.940380859375,7.704541015625,5.01888020833333,9.98955078125,3.940380859375,8.980419921875,7.9078125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",5
"56",-1,-1,1.9790999999941,-1,-1,-1,1,-1,10,6.78173828125,5.83037109375,9.94501953125,0,55,"5589be79fdf99b18be320155",0.9962,1.9790999999941,5.83037109375,8.1392822265625,3.07854817708333,10,5.83037109375,9.94501953125,6.78173828125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",2
"57",-1,-1,1.86180000001195,-1,-1,-1,1,-1,9.14140625,6.96220703125,7.9193359375,7.87314453125,1,56,"5589be79fdf99b18be320155",0.2654,1.86180000001195,7.9193359375,7.9740234375,1.34908854166666,9.14140625,6.96220703125,7.9193359375,7.87314453125,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",3
"58",-1,-1,2.09670000001802,-1,-1,-1,1,-1,9.984326171875,8.127978515625,6.93583984375,7.151611328125,1,57,"5589be79fdf99b18be320155",0.3669,2.09670000001802,6.93583984375,8.04993896484375,1.48546549479167,9.984326171875,6.93583984375,8.127978515625,7.151611328125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"59",-1,1.99530000001187,-1,-1,-1,1,-1,-1,8.0322265625,8.02373046875,8.882958984375,9.1533203125,1,58,"5589be79fdf99b18be320155",0.3512,1.99530000001187,8.02373046875,8.52305908203125,0.665771484375,9.1533203125,8.02373046875,8.882958984375,8.0322265625,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",2
"60",-1,1.51269999998817,3.12599999999998,2.35979999998222,-1,1,3,2,5.966015625,2.01982421875,1.067236328125,0,0,59,"5589be79fdf99b18be320155",1.8962,1.51269999998817,2.01982421875,2.26326904296875,3.01769205729167,5.966015625,0,2.01982421875,1.067236328125,3,0,10,FALSE,TRUE,FALSE,FALSE,"OR",1
