"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","isMoreTarget","NChosen","minValue","maxValue","isWorstFirst","isBestFirst","catChoiceCondition","conflict","conflictRT","secondValue","thirdValue","isSecondFirst","isThirdFirst","multiTarget"
"10015",-1,-1,-1,4.50110000000041,-1,-1,-1,1,3.970849609375,3.347216796875,5.178955078125,5.413720703125,1,54,"60fd84bd019682124d96c178",4.50110000000041,5.413720703125,4.477685546875,1.50729166666667,5.413720703125,3.347216796875,FALSE,1,0.083837891,9.960986328,FALSE,TRUE,"XOR",3,5.182,5.178955078125,3.970849609375,FALSE,FALSE,FALSE
"10016",-1,-1,5.31760000000054,-1,-1,-1,1,-1,6.86787109375,6.661474609375,6.028466796875,7.017578125,0,55,"60fd84bd019682124d96c178",5.31760000000054,6.028466796875,6.64384765625,0.820507812499999,7.017578125,6.028466796875,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"OR",2,4.3761,6.86787109375,6.661474609375,FALSE,FALSE,FALSE
"10017",-1,-1,-1,6.53650000000016,-1,-1,-1,1,8.90185546875,9.812646484375,9.0462890625,8.93330078125,0,56,"60fd84bd019682124d96c178",6.53650000000016,8.93330078125,9.17352294921875,0.362223307291666,9.812646484375,8.90185546875,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"OR",5,5.4157,9.0462890625,8.93330078125,FALSE,TRUE,FALSE
"10018",-1,-1,3.4685999999997,-1,-1,-1,1,-1,5.951513671875,6.971484375,0.861865234375,8.38330078125,1,57,"60fd84bd019682124d96c178",3.4685999999997,0.861865234375,5.542041015625,6.240234375,8.38330078125,0.861865234375,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,3.1153,6.971484375,5.951513671875,FALSE,FALSE,FALSE
"10019",-1,-1,4.65219999999999,-1,-1,-1,1,-1,0.6078125,9.829736328125,6.999072265625,8.92041015625,1,58,"60fd84bd019682124d96c178",4.65219999999999,6.999072265625,6.5892578125,7.97526041666667,9.829736328125,0.6078125,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.3431,8.92041015625,6.999072265625,FALSE,TRUE,FALSE
"10020",3.95590000000038,2.76800000000003,5.55190000000039,4.95280000000071,2,1,4,3,0.3453125,0.237353515625,2.03232421875,3.2388671875,0,59,"60fd84bd019682124d96c178",2.76800000000003,0.237353515625,1.46346435546875,1.634814453125,3.2388671875,0.237353515625,FALSE,4,0.083837891,9.960986328,TRUE,FALSE,"OR",1,2.1413,2.03232421875,0.3453125,FALSE,FALSE,FALSE
"10021",-1,5.08470000000011,-1,-1,-1,1,-1,-1,4.98037109375,7.5107421875,6.990576171875,7.9880859375,1,60,"60fd84bd019682124d96c178",5.08470000000011,7.5107421875,6.86744384765625,2.51609700520833,7.9880859375,4.98037109375,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",3,7.2653,7.5107421875,6.990576171875,TRUE,FALSE,FALSE
"10022",-1,4.40109999999981,-1,-1,-1,1,-1,-1,2.997998046875,0.642919921875,4.915673828125,0.952099609375,1,61,"60fd84bd019682124d96c178",4.40109999999981,0.642919921875,2.3771728515625,2.31233723958333,4.915673828125,0.642919921875,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,3.4318,2.997998046875,0.952099609375,FALSE,FALSE,FALSE
"10023",3.51900000000001,-1,-1,-1,1,-1,-1,-1,7.279150390625,8.38330078125,7.002490234375,9.789892578125,0,62,"60fd84bd019682124d96c178",3.51900000000001,7.279150390625,8.11370849609375,1.48162434895833,9.789892578125,7.002490234375,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"OR",2,6.35,8.38330078125,7.279150390625,FALSE,TRUE,FALSE
"10024",-1,3.50150000000008,5.51900000000001,4.46800000000007,-1,1,3,2,3.2796875,0.3392578125,1.266455078125,2.185009765625,0,63,"60fd84bd019682124d96c178",3.50150000000008,0.3392578125,1.7676025390625,1.90445963541667,3.2796875,0.3392578125,FALSE,3,0.083837891,9.960986328,TRUE,FALSE,"OR",1,3.4304,2.185009765625,1.266455078125,FALSE,FALSE,FALSE
"10025",2.98670000000016,-1,1.81849999999986,-1,2,-1,1,-1,0.48056640625,9.303271484375,2.935302734375,4.323583984375,0,64,"60fd84bd019682124d96c178",1.81849999999986,2.935302734375,4.26068115234375,5.04015299479167,9.303271484375,0.48056640625,FALSE,2,0.083837891,9.960986328,FALSE,FALSE,"OR",1,3.8286,4.323583984375,2.935302734375,FALSE,TRUE,FALSE
"10026",7.70539999999937,-1,-1,-1,1,-1,-1,-1,9.400634765625,5.333984375,9.129931640625,6.53896484375,1,65,"60fd84bd019682124d96c178",7.70539999999937,9.400634765625,7.60087890625,3.02252604166667,9.400634765625,5.333984375,FALSE,1,0.083837891,9.960986328,FALSE,TRUE,"XOR",4,4.9476,9.129931640625,6.53896484375,FALSE,FALSE,FALSE
"10027",-1,3.10020000000031,-1,-1,-1,1,-1,-1,0.861865234375,0.237353515625,0.434619140625,7.002490234375,1,66,"60fd84bd019682124d96c178",3.10020000000031,0.237353515625,2.13408203125,2.52897135416667,7.002490234375,0.237353515625,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.9465,0.861865234375,0.434619140625,FALSE,FALSE,FALSE
"10028",3.6028000000008,-1,-1,-1,1,-1,-1,-1,6.028466796875,7.970703125,6.677978515625,8.0228515625,0,67,"60fd84bd019682124d96c178",3.6028000000008,6.028466796875,7.175,1.5287109375,8.0228515625,6.028466796875,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"OR",3,5.9482,7.970703125,6.677978515625,FALSE,FALSE,FALSE
"10029",-1,-1,-1,4.5347999999999,-1,-1,-1,1,6.990576171875,7.279150390625,0.642919921875,3.17255859375,1,68,"60fd84bd019682124d96c178",4.5347999999999,3.17255859375,4.52130126953125,5.17117513020833,7.279150390625,0.642919921875,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,3.9814,6.990576171875,3.17255859375,FALSE,TRUE,FALSE
"10030",-1,-1,-1,3.73379999999975,-1,-1,-1,1,6.86787109375,0.545556640625,7.98876953125,0.673583984375,1,69,"60fd84bd019682124d96c178",3.73379999999975,0.673583984375,4.0189453125,4.63118489583333,7.98876953125,0.545556640625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.2977,6.86787109375,0.673583984375,FALSE,TRUE,FALSE
"10031",-1,-1,-1,5.80170000000021,-1,-1,-1,1,9.319677734375,9.1099609375,9.918896484375,8.948681640625,0,70,"60fd84bd019682124d96c178",5.80170000000021,8.948681640625,9.32430419921875,0.500830078124999,9.918896484375,8.948681640625,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"OR",4,5.1478,9.319677734375,9.1099609375,FALSE,FALSE,FALSE
"10032",6.85379999999964,-1,4.95379999999977,3.46959999999945,3,-1,2,1,6.375634765625,0.642919921875,0.35302734375,1.373291015625,0,71,"60fd84bd019682124d96c178",3.46959999999945,1.373291015625,2.18621826171875,2.44425455729167,6.375634765625,0.35302734375,FALSE,3,0.083837891,9.960986328,FALSE,FALSE,"OR",1,2.9978,1.373291015625,0.642919921875,TRUE,FALSE,FALSE
"10033",3.0025999999998,2.3005999999998,-1,-1,2,1,-1,-1,0.221337890625,2.07373046875,8.827490234375,9.039501953125,0,72,"60fd84bd019682124d96c178",2.3005999999998,2.07373046875,5.04051513671875,6.42556966145833,9.039501953125,0.221337890625,FALSE,2,0.083837891,9.960986328,FALSE,FALSE,"OR",1,2.6124,8.827490234375,2.07373046875,FALSE,TRUE,FALSE
"10034",-1,-1,-1,2.86729999999966,-1,-1,-1,1,7.970703125,7.625341796875,9.461376953125,5.452783203125,1,73,"60fd84bd019682124d96c178",2.86729999999966,5.452783203125,7.62755126953125,2.89969075520833,9.461376953125,5.452783203125,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",3,4.4987,7.970703125,7.625341796875,FALSE,FALSE,FALSE
"10035",3.93420000000015,-1,-1,-1,1,-1,-1,-1,2.565869140625,4.938671875,0.48056640625,2.506982421875,1,74,"60fd84bd019682124d96c178",3.93420000000015,2.565869140625,2.6230224609375,2.85660807291667,4.938671875,0.48056640625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.9718,2.565869140625,2.506982421875,TRUE,FALSE,FALSE
"10036",-1,4.70219999999927,-1,3.21759999999949,-1,2,-1,1,5.034228515625,6.52021484375,8.4310546875,2.03232421875,0,75,"60fd84bd019682124d96c178",3.21759999999949,2.03232421875,5.50445556640625,4.62950846354167,8.4310546875,2.03232421875,FALSE,2,0.083837891,9.960986328,TRUE,FALSE,"OR",1,2.3459,6.52021484375,5.034228515625,FALSE,FALSE,FALSE
"10037",-1,-1,-1,-1,-1,-1,-1,-1,9.5767578125,8.31396484375,8.90185546875,7.921533203125,0,76,"60fd84bd019682124d96c178",-1,-1,8.67852783203125,1.009326171875,9.5767578125,7.921533203125,FALSE,-1,0.083837891,9.960986328,FALSE,FALSE,"OR",5,4.9328,8.90185546875,8.31396484375,FALSE,FALSE,FALSE
"10038",4.91799999999967,3.91779999999972,5.80369999999994,2.76899999999978,3,2,4,1,0.900244140625,2.539990234375,2.192724609375,3.89560546875,0,77,"60fd84bd019682124d96c178",2.76899999999978,3.89560546875,2.38214111328125,1.97586263020833,3.89560546875,0.900244140625,FALSE,4,0.083837891,9.960986328,FALSE,TRUE,"OR",2,4.1318,2.539990234375,2.192724609375,FALSE,FALSE,FALSE
"10039",-1,-1,-1,-1,-1,-1,-1,-1,8.948681640625,7.9056640625,7.625341796875,7.98876953125,0,78,"60fd84bd019682124d96c178",-1,-1,8.1171142578125,0.655696614583333,8.948681640625,7.625341796875,FALSE,-1,0.083837891,9.960986328,FALSE,FALSE,"OR",5,5.4929,7.98876953125,7.9056640625,FALSE,FALSE,FALSE
"10040",-1,5.9689000000003,2.96710000000076,-1,-1,2,1,-1,6.9416015625,6.98720703125,0.4904296875,6.661474609375,0,79,"60fd84bd019682124d96c178",2.96710000000076,0.4904296875,5.27017822265625,6.372998046875,6.98720703125,0.4904296875,FALSE,2,0.083837891,9.960986328,TRUE,FALSE,"OR",1,2.9809,6.9416015625,6.661474609375,FALSE,FALSE,FALSE
"10041",5.28529999999955,4.53609999999981,6.7189000000003,3.2512999999999,3,2,4,1,2.523486328125,2.185009765625,0.86669921875,2.577978515625,0,80,"60fd84bd019682124d96c178",3.2512999999999,2.577978515625,2.03829345703125,1.56212565104167,2.577978515625,0.86669921875,FALSE,4,0.083837891,9.960986328,FALSE,TRUE,"OR",1,2.5402,2.523486328125,2.185009765625,FALSE,FALSE,FALSE
"10042",2.68420000000015,-1,-1,-1,1,-1,-1,-1,2.982958984375,6.137451171875,3.221826171875,8.948681640625,0,81,"60fd84bd019682124d96c178",2.68420000000015,2.982958984375,5.3227294921875,3.11969401041667,8.948681640625,2.982958984375,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"OR",1,3.7658,6.137451171875,3.221826171875,FALSE,FALSE,FALSE
"10043",-1,-1,-1,4.00139999999919,-1,-1,-1,1,0.551611328125,0.873974609375,0.551611328125,0.545556640625,1,82,"60fd84bd019682124d96c178",4.00139999999919,0.545556640625,0.6306884765625,0.113509114583333,0.873974609375,0.545556640625,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.7798,0.551611328125,0.551611328125,FALSE,FALSE,FALSE
"10044",-1,-1,6.90219999999908,-1,-1,-1,1,-1,7.53662109375,8.948681640625,8.948681640625,8.507763671875,0,83,"60fd84bd019682124d96c178",6.90219999999908,8.948681640625,8.48543701171875,1.265087890625,8.948681640625,7.53662109375,FALSE,1,0.083837891,9.960986328,FALSE,TRUE,"OR",4,4.7637,8.948681640625,8.507763671875,TRUE,FALSE,FALSE
"10045",-1,2.23489999999947,-1,-1,-1,1,-1,-1,7.18349609375,5.060498046875,5.953759765625,4.835791015625,0,84,"60fd84bd019682124d96c178",2.23489999999947,5.060498046875,5.75838623046875,1.230126953125,7.18349609375,4.835791015625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"OR",1,3.9461,5.953759765625,5.060498046875,FALSE,TRUE,FALSE
"10046",-1,3.63439999999946,-1,-1,-1,1,-1,-1,4.050341796875,3.970849609375,3.9087890625,6.268603515625,1,85,"60fd84bd019682124d96c178",3.63439999999946,3.970849609375,4.54964599609375,0.854475911458333,6.268603515625,3.9087890625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",3,5.9507,4.050341796875,3.970849609375,FALSE,TRUE,FALSE
"10047",6.6532000000002,4.28640000000041,2.66949999999997,3.42020000000002,4,3,1,2,0.646484375,0.269970703125,0.15595703125,0.237353515625,0,86,"60fd84bd019682124d96c178",2.66949999999997,0.15595703125,0.32744140625,0.228645833333333,0.646484375,0.15595703125,FALSE,4,0.083837891,9.960986328,TRUE,FALSE,"OR",1,2.5806,0.269970703125,0.237353515625,FALSE,FALSE,FALSE
"10048",-1,3.93629999999985,-1,-1,-1,1,-1,-1,6.9416015625,7.175537109375,8.96494140625,6.268603515625,1,87,"60fd84bd019682124d96c178",3.93629999999985,7.175537109375,7.3376708984375,1.42542317708333,8.96494140625,6.268603515625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",2,4.9791,7.175537109375,6.9416015625,TRUE,FALSE,FALSE
"10049",-1,-1,-1,5.66930000000093,-1,-1,-1,1,7.279150390625,8.31396484375,0.434619140625,3.2388671875,1,88,"60fd84bd019682124d96c178",5.66930000000093,3.2388671875,4.816650390625,5.84270833333333,8.31396484375,0.434619140625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,4.1286,7.279150390625,3.2388671875,FALSE,TRUE,FALSE
"10050",-1,2.51720000000023,-1,-1,-1,1,-1,-1,4.837890625,0.91533203125,0.237353515625,0.606640625,1,89,"60fd84bd019682124d96c178",2.51720000000023,0.91533203125,1.64930419921875,1.88260091145833,4.837890625,0.237353515625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,1.8812,0.91533203125,0.606640625,TRUE,FALSE,FALSE
"10051",-1,2.00140000000056,-1,-1,-1,1,-1,-1,6.00380859375,2.568896484375,1.381689453125,4.04326171875,1,90,"60fd84bd019682124d96c178",2.00140000000056,2.568896484375,3.4994140625,2.8236328125,6.00380859375,1.381689453125,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.93,4.04326171875,2.568896484375,FALSE,TRUE,FALSE
"10052",-1,2.23309999999992,-1,-1,-1,1,-1,-1,4.98037109375,2.982958984375,4.528125,7.017578125,1,91,"60fd84bd019682124d96c178",2.23309999999992,2.982958984375,4.87725830078125,2.525732421875,7.017578125,2.982958984375,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.6567,4.98037109375,4.528125,FALSE,FALSE,FALSE
"10053",2.71709999999985,-1,-1,-1,1,-1,-1,-1,3.0337890625,2.17978515625,5.978173828125,5.452783203125,1,92,"60fd84bd019682124d96c178",2.71709999999985,3.0337890625,4.1611328125,2.641796875,5.978173828125,2.17978515625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.5296,5.452783203125,3.0337890625,FALSE,TRUE,FALSE
"10054",-1,-1,6.41929999999866,-1,-1,-1,1,-1,8.029638671875,8.92041015625,8.31396484375,8.09169921875,1,93,"60fd84bd019682124d96c178",6.41929999999866,8.31396484375,8.33892822265625,0.412386067708333,8.92041015625,8.029638671875,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",5,5.1667,8.31396484375,8.09169921875,TRUE,FALSE,FALSE
"10055",3.71919999999909,6.68669999999929,-1,5.10319999999911,1,3,-1,2,0.303857421875,0.606640625,0.642919921875,0.642919921875,0,94,"60fd84bd019682124d96c178",3.71919999999909,0.303857421875,0.54908447265625,0.326969401041666,0.642919921875,0.303857421875,FALSE,3,0.083837891,9.960986328,TRUE,FALSE,"OR",1,4.1344,0.642919921875,0.606640625,FALSE,FALSE,FALSE
"10056",-1,-1,-1,5.35280000000103,-1,-1,-1,1,1.0533203125,0.434619140625,5.953759765625,7.625341796875,1,95,"60fd84bd019682124d96c178",5.35280000000103,7.625341796875,3.76676025390625,4.44285481770833,7.625341796875,0.434619140625,FALSE,1,0.083837891,9.960986328,FALSE,TRUE,"XOR",1,1.9959,5.953759765625,1.0533203125,FALSE,FALSE,FALSE
"10057",-1,3.95160000000169,-1,-1,-1,1,-1,-1,3.520556640625,2.17978515625,7.53662109375,5.87177734375,1,96,"60fd84bd019682124d96c178",3.95160000000169,2.17978515625,4.77718505859375,3.46319986979167,7.53662109375,2.17978515625,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.9797,5.87177734375,3.520556640625,FALSE,FALSE,FALSE
"10058",-1,3.13509999999951,5.035699999999,3.98649999999998,-1,1,3,2,5.25205078125,1.206201171875,0.952099609375,1.3662109375,0,97,"60fd84bd019682124d96c178",3.13509999999951,1.206201171875,2.194140625,1.6560546875,5.25205078125,0.952099609375,FALSE,3,0.083837891,9.960986328,FALSE,FALSE,"OR",1,1.9333,1.3662109375,1.206201171875,FALSE,TRUE,FALSE
"10059",3.7185999999997,-1,-1,-1,1,-1,-1,-1,9.319677734375,9.890380859375,8.92041015625,9.0462890625,1,98,"60fd84bd019682124d96c178",3.7185999999997,9.319677734375,9.294189453125,0.498372395833334,9.890380859375,8.92041015625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",5,4.3316,9.319677734375,9.0462890625,TRUE,FALSE,FALSE
"10060",3.51759999999967,-1,-1,4.56840000000011,1,-1,-1,2,2.185009765625,4.835791015625,6.906005859375,0.817578125,0,99,"60fd84bd019682124d96c178",3.51759999999967,2.185009765625,3.68609619140625,3.82469075520833,6.906005859375,0.817578125,FALSE,2,0.083837891,9.960986328,FALSE,FALSE,"OR",1,3.5982,4.835791015625,2.185009765625,FALSE,TRUE,FALSE
"10061",-1,-1,1.93390000000045,-1,-1,-1,1,-1,8.38330078125,4.315771484375,0.269970703125,7.002490234375,1,100,"60fd84bd019682124d96c178",1.93390000000045,0.269970703125,4.99288330078125,6.297216796875,8.38330078125,0.269970703125,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,1.964,7.002490234375,4.315771484375,FALSE,FALSE,FALSE
"10062",2.96709999999985,-1,-1,-1,1,-1,-1,-1,0.6078125,1.317431640625,6.906005859375,2.429638671875,1,101,"60fd84bd019682124d96c178",2.96709999999985,0.6078125,2.81522216796875,2.943212890625,6.906005859375,0.6078125,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.5594,2.429638671875,1.317431640625,FALSE,FALSE,FALSE
"10063",-1,-1,-1,4.38459999999941,-1,-1,-1,1,8.38330078125,0.642919921875,6.99609375,0.36064453125,0,102,"60fd84bd019682124d96c178",4.38459999999941,0.36064453125,4.09573974609375,4.980126953125,8.38330078125,0.36064453125,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"OR",1,2.69,6.99609375,0.642919921875,FALSE,FALSE,FALSE
"10064",-1,-1,4.48639999999887,-1,-1,-1,1,-1,3.2796875,6.661474609375,0.434619140625,7.0138671875,1,103,"60fd84bd019682124d96c178",4.48639999999887,0.434619140625,4.347412109375,5.21705729166667,7.0138671875,0.434619140625,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,2.2091,6.661474609375,3.2796875,FALSE,FALSE,FALSE
"10065",-1,-1,3.81950000000006,-1,-1,-1,1,-1,9.331982421875,5.991650390625,5.154443359375,9.244873046875,1,104,"60fd84bd019682124d96c178",3.81950000000006,5.154443359375,7.4307373046875,3.03505859375,9.331982421875,5.154443359375,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",2,5.3644,9.244873046875,5.991650390625,FALSE,FALSE,FALSE
"10066",3.26909999999953,2.31799999999976,4.2199999999998,-1,2,1,3,-1,0.606640625,3.2388671875,1.3662109375,4.315771484375,0,105,"60fd84bd019682124d96c178",2.31799999999976,3.2388671875,2.38187255859375,2.36697591145833,4.315771484375,0.606640625,FALSE,3,0.083837891,9.960986328,FALSE,FALSE,"OR",1,3.132,3.2388671875,1.3662109375,TRUE,FALSE,FALSE
"10067",-1,4.70309999999972,6.67100000000028,-1,-1,1,2,-1,6.806884765625,5.9193359375,5.951513671875,8.623095703125,0,106,"60fd84bd019682124d96c178",4.70309999999972,5.9193359375,6.82520751953125,1.20782877604167,8.623095703125,5.9193359375,FALSE,2,0.083837891,9.960986328,TRUE,FALSE,"OR",2,5.631,6.806884765625,5.951513671875,FALSE,FALSE,FALSE
"10068",-1,-1,-1,6.1524000000004,-1,-1,-1,1,9.829736328125,6.971484375,9.70625,6.137451171875,1,107,"60fd84bd019682124d96c178",6.1524000000004,6.137451171875,8.16123046875,2.69837239583333,9.829736328125,6.137451171875,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",5,3.8154,9.70625,6.971484375,FALSE,FALSE,FALSE
"10069",7.3051000000014,5.085700000001,-1,-1,2,1,-1,-1,2.656201171875,2.192724609375,5.311474609375,5.991650390625,0,108,"60fd84bd019682124d96c178",5.085700000001,2.192724609375,4.0380126953125,2.46038411458333,5.991650390625,2.192724609375,FALSE,2,0.083837891,9.960986328,TRUE,FALSE,"OR",3,4.5166,5.311474609375,2.656201171875,FALSE,FALSE,FALSE
"10070",-1,-1,3.16959999999972,-1,-1,-1,1,-1,5.154443359375,5.323486328125,5.21337890625,4.72880859375,1,109,"60fd84bd019682124d96c178",3.16959999999972,5.21337890625,5.105029296875,0.501627604166667,5.323486328125,4.72880859375,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.8306,5.21337890625,5.154443359375,TRUE,FALSE,FALSE
"10071",4.2175000000002,-1,-1,-1,1,-1,-1,-1,1.09873046875,0.434619140625,1.33544921875,0.861865234375,1,110,"60fd84bd019682124d96c178",4.2175000000002,1.09873046875,0.932666015625,0.6640625,1.33544921875,0.434619140625,FALSE,1,0.083837891,9.960986328,FALSE,FALSE,"XOR",1,2.7967,1.09873046875,0.861865234375,TRUE,FALSE,FALSE
"10072",-1,-1,2.70100000000002,-1,-1,-1,1,-1,2.9779296875,6.1798828125,0.6078125,3.347216796875,1,111,"60fd84bd019682124d96c178",2.70100000000002,0.6078125,3.27821044921875,3.56053059895833,6.1798828125,0.6078125,FALSE,1,0.083837891,9.960986328,TRUE,FALSE,"XOR",1,1.8978,3.347216796875,2.9779296875,FALSE,FALSE,FALSE
"10073",-1,-1,6.58629999999857,5.42009999999937,-1,-1,2,1,8.029638671875,8.38330078125,6.98720703125,7.279150390625,0,112,"60fd84bd019682124d96c178",5.42009999999937,7.279150390625,7.66982421875,0.910156249999999,8.38330078125,6.98720703125,FALSE,2,0.083837891,9.960986328,FALSE,FALSE,"OR",1,2.4997,8.029638671875,7.279150390625,FALSE,TRUE,FALSE
