"","value","rt","participant","pic_path"
"90",3.971428571,3.759,"57e972d7c3e5930001447bb1","BB_0035_swiffer_sweeper.jpeg"
"91",6.133333333,4.22,"57e972d7c3e5930001447bb1","SS_0011_Electric_Toothbrush.jpg"
"92",2.933333333,8.03,"57e972d7c3e5930001447bb1","MJK0198.jpeg"
"93",4.123809524,5.921,"57e972d7c3e5930001447bb1","AT_0155_laptop_cooling_stand.jpg"
"94",1.523809524,14.924,"57e972d7c3e5930001447bb1","RA_0020_Crockpot.jpg"
"95",0.666666667,4.536,"57e972d7c3e5930001447bb1","RA_0009_quadcopter.jpg"
"96",0.723809524,3.268,"57e972d7c3e5930001447bb1","AT_0057.jpg"
"97",7.847619048,3.295,"57e972d7c3e5930001447bb1","MJK0022_toaster_oven.jpg"
"98",7.60952381,3.305,"57e972d7c3e5930001447bb1","MJK0099_computer_mouse.jpeg"
"99",2.504761905,4.987,"57e972d7c3e5930001447bb1","BB_0034_whitestrips.jpeg"
"100",2.495238095,3.22,"57e972d7c3e5930001447bb1","BB_0087_lamp.jpeg"
"101",3.923809524,3.471,"57e972d7c3e5930001447bb1","AT_0174_resistance_band.jpeg"
"102",8.228571429,3.031,"57e972d7c3e5930001447bb1","AT_0047.jpg"
"103",8.923809524,2.993,"57e972d7c3e5930001447bb1","BB_0114_laundrybasket.jpeg"
"104",7.647619048,4.724,"57e972d7c3e5930001447bb1","AT_0162_usb_plasma_ball.jpeg"
"105",7.00952381,4.035,"57e972d7c3e5930001447bb1","AT_0179_twin_airbed.jpeg"
"106",4.828571429,4.037,"57e972d7c3e5930001447bb1","KL_0053_MeasureTape.jpg"
"107",8,4.088,"57e972d7c3e5930001447bb1","AT_0140_solar_charger.jpg"
"108",0.942857143,6.488,"57e972d7c3e5930001447bb1","MM_0015_bikelight.jpg"
"109",0.904761905,4.053,"57e972d7c3e5930001447bb1","BT_0021_Bookends.jpeg"
"110",7.028571429,4.045,"57e972d7c3e5930001447bb1","AT_0182_Sports_Water_Bottle.jpeg"
"111",7.180952381,2.956,"57e972d7c3e5930001447bb1","MM_0093_glasses.jpg"
"112",6.980952381,2.771,"57e972d7c3e5930001447bb1","MP_0021_Digital_Picture_Frame.jpg"
"113",3.066666667,6.3,"57e972d7c3e5930001447bb1","RA_0045_PikachuPlush.jpg"
"114",5.00952381,20.334,"57e972d7c3e5930001447bb1","RA_0054_3DDoodlerPen.jpg"
"115",0.980952381,4.52,"57e972d7c3e5930001447bb1","BB_0118_newtonscradle.jpeg"
"116",4.152380952,4.263,"57e972d7c3e5930001447bb1","RA_0063_AmazonEchoDot.jpg"
"117",4.533333333,3.877,"57e972d7c3e5930001447bb1","AT_0177_six_piece_towelset.jpeg"
"118",5.333333333,3.203,"57e972d7c3e5930001447bb1","AT_0018.jpg"
"119",6.342857143,2.964,"57e972d7c3e5930001447bb1","MM_0102_umbrella.jpg"
"120",6.657142857,4.559,"57e972d7c3e5930001447bb1","BT_0017_Headlamp.jpeg"
"121",5.80952381,4.558,"57e972d7c3e5930001447bb1","MJK0058_abs_workout_ball.jpg"
"122",8.342857143,12.158,"57e972d7c3e5930001447bb1","AS_0016_60-hr coil candle.jpg"
"123",4.219047619,6.194,"57e972d7c3e5930001447bb1","MM_0090_nutella.jpg"
"124",1.133333333,3.789,"57e972d7c3e5930001447bb1","MJK0140_thermometer.jpeg"
"125",3.095238095,5.421,"57e972d7c3e5930001447bb1","MM_0051_coasters.jpg"
"126",3.19047619,3.659,"57e972d7c3e5930001447bb1","MM_0024_herbgarden.jpg"
"127",2.038095238,34.19,"57e972d7c3e5930001447bb1","SS_0013_DVD_Player.jpg"
"128",3.304761905,3.526,"57e972d7c3e5930001447bb1","MP_0091_Flower_Vase1.jpg"
"129",5.857142857,2.919,"57e972d7c3e5930001447bb1","MJK0042_energy_bars.jpg"
"130",2.895238095,3.198,"57e972d7c3e5930001447bb1","AT_0067.jpg"
"131",3.704761905,3.127,"57e972d7c3e5930001447bb1","MM_0013_rubbermaid.jpg"
"132",1.361904762,3.136,"57e972d7c3e5930001447bb1","RA_0012_sd_card.jpg"
"133",1.619047619,3.375,"57e972d7c3e5930001447bb1","SS_0003_Router.jpg"
"134",1.60952381,4.264,"57e972d7c3e5930001447bb1","RA_0051_KINDBars.jpg"
"135",7.895238095,5.609,"57e972d7c3e5930001447bb1","BB_0136_dustbuster.jpg"
"136",7.657142857,2.947,"57e972d7c3e5930001447bb1","BB_0031_waffle_iron.jpeg"
"137",5.39047619,3.847,"57e972d7c3e5930001447bb1","BB_0103_bodyscale.jpeg"
"138",6.114285714,5.327,"57e972d7c3e5930001447bb1","AT_0167_usb_squid.jpeg"
"139",6.123809524,3.403,"57e972d7c3e5930001447bb1","RA_0003_gopro.jpg"
"140",6.733333333,2.806,"57e972d7c3e5930001447bb1","MM_0042_beanbag.jpg"
"141",9.619047619,3.974,"57e972d7c3e5930001447bb1","MJK0049_board_game.jpg"
"142",6.2,4.031,"57e972d7c3e5930001447bb1","BB_0130_toiletry_case.jpg"
"143",8.285714286,4.381,"57e972d7c3e5930001447bb1","SS_0033_Taste_of_italy.jpg"
"144",8.285714286,2.664,"57e972d7c3e5930001447bb1","AT_0121.jpg"
"145",2.742857143,5.225,"57e972d7c3e5930001447bb1","AT_0116.jpg"
"146",6.980952381,3.359,"57e972d7c3e5930001447bb1","RA_0006_kindle.jpg"
"147",3.180952381,3.203,"57e972d7c3e5930001447bb1","MM_0076_coconut_water.jpg"
"148",3.723809524,3.065,"57e972d7c3e5930001447bb1","BB_0071_deskchair.jpeg"
"149",5.638095238,3.967,"57e972d7c3e5930001447bb1","MM_0074_pods.jpg"
"150",6.2,3.031,"57e972d7c3e5930001447bb1","MJK0112_cookies.jpeg"
"151",9.114285714,4.002,"57e972d7c3e5930001447bb1","RA_0001_polaroid_camera.jpg"
"152",8.723809524,2.859,"57e972d7c3e5930001447bb1","MM_0037_panini.jpg"
"153",5.276190476,4.044,"57e972d7c3e5930001447bb1","MM_0036_pasta.jpg"
"154",5.342857143,3.605,"57e972d7c3e5930001447bb1","MM_0092_measuringspoons.jpg"
"155",5.733333333,3.812,"57e972d7c3e5930001447bb1","RA_0028_Sneakers.jpg"
"156",0.723809524,3.52,"57e972d7c3e5930001447bb1","BT_0052_Pencil_Holder.jpeg"
"157",6.171428571,3.233,"57e972d7c3e5930001447bb1","BB_0101_binoculars.jpeg"
"158",6.142857143,3.51,"57e972d7c3e5930001447bb1","RA_0077_JBLSpeakers.jpg"
"159",2.876190476,5.363,"57e972d7c3e5930001447bb1","SS_0004_fondue.jpg"
"160",2.723809524,5.509,"57e972d7c3e5930001447bb1","AS_0004_Oven-BBQ mitt.jpg"
"161",9.971428571,4.462,"57e972d7c3e5930001447bb1","RA_0068_Kanken.jpg"
"162",5.495238095,9.809,"57e972d7c3e5930001447bb1","SS_0019_mobile_color_scanner.jpg"
"163",5.333333333,3.541,"57e972d7c3e5930001447bb1","SS_0014_Charcoal_Grill.jpg"
"164",7.20952381,3.764,"57e972d7c3e5930001447bb1","AT_0183_Featherweight_Vacuum.jpeg"
"165",2.580952381,15.001,"57e972d7c3e5930001447bb1","SS_0023_wireless_headset.jpg"
"166",9.923809524,3.52,"57e972d7c3e5930001447bb1","RA_0008_fitbit.jpg"
"167",1.380952381,3.692,"57e972d7c3e5930001447bb1","AT_0021.jpg"
"168",8.038095238,5.923,"57e972d7c3e5930001447bb1","RA_0039_CoffeeSyrup.jpg"
"169",1.457142857,4.939,"57e972d7c3e5930001447bb1","MM_0054_magneticpoetry.jpg"
"170",9.904761905,4.447,"57e972d7c3e5930001447bb1","RA_0007_keurig.jpg"
"171",7.076190476,28.377,"57e972d7c3e5930001447bb1","RA_0069_MagicBullet.jpg"
"172",3.228571429,5.65,"57e972d7c3e5930001447bb1","RA_0022_Game.jpg"
"173",3.904761905,4.175,"57e972d7c3e5930001447bb1","BT_0029_Roll_up_piano.jpeg"
"174",1.942857143,3.398,"57e972d7c3e5930001447bb1","SS_0036_cashmere_scarf.jpg"
"175",4.761904762,2.83,"57e972d7c3e5930001447bb1","BB_0077_GodivaGoldBallotins.jpeg"
"176",4.095238095,2.87,"57e972d7c3e5930001447bb1","BB_0049_humanbrain_book.jpeg"
"177",1.961904762,3.494,"57e972d7c3e5930001447bb1","AT_0172_wine_rack.jpeg"
"178",1.961904762,2.772,"57e972d7c3e5930001447bb1","AT_0091.jpg"
"179",2.552380952,3.629,"57e972d7c3e5930001447bb1","BB_0134_stain_remover.jpg"
"180",9.952380952,5.186,"57e972d7c3e5930001447bb1","RA_0015_Rainboots.jpg"
"181",8.571428571,3.378,"57e972d7c3e5930001447bb1","RA_0030_Teapot.jpeg"
"182",8.942857143,2.804,"57e972d7c3e5930001447bb1","BB_0111_waterproofcamera.jpeg"
"183",2.028571429,3.101,"57e972d7c3e5930001447bb1","MJK0055_chess_set.jpg"
"184",6.780952381,4.869,"57e972d7c3e5930001447bb1","BB_0018_bananagrams.jpeg"
"185",4,3.863,"57e972d7c3e5930001447bb1","BB_0043_harry_potter.jpeg"
"186",8.066666667,3.545,"57e972d7c3e5930001447bb1","AS_0031_Spice carousel.jpg"
"187",7.428571429,3.266,"57e972d7c3e5930001447bb1","MJK0143_popcorn.jpeg"
"188",7.133333333,4.274,"57e972d7c3e5930001447bb1","SS_0020_Wireless_printer_scanner.jpg"
"189",7.076190476,6.892,"57e972d7c3e5930001447bb1","MM_0084_rolling_duffel.jpg"
"190",8.542857143,4.022,"57e972d7c3e5930001447bb1","MM_0056_chalkboard.jpg"
"191",6.980952381,7.959,"57e972d7c3e5930001447bb1","BB_0089_laserpointer.jpeg"
"192",7.838095238,3.869,"57e972d7c3e5930001447bb1","BB_0131_packing_cubes.jpg"
"193",7.980952381,2.604,"57e972d7c3e5930001447bb1","MM_0044_lantern.jpg"
"194",9.895238095,2.855,"57e972d7c3e5930001447bb1","RA_0024_Monitor.jpg"
"195",7,3.019,"57e972d7c3e5930001447bb1","BB_0012_nike_bag.jpeg"
"196",8.676190476,3.357,"57e972d7c3e5930001447bb1","RA_0072_Terrarium.jpg"
"197",4.657142857,3.352,"57e972d7c3e5930001447bb1","MM_0002_puzzle.jpg"
"198",5.266666667,3.599,"57e972d7c3e5930001447bb1","SS_0005_Luggage.jpg"
"199",2.361904762,3.674,"57e972d7c3e5930001447bb1","MJK0193.jpeg"
"200",5.79047619,3.907,"57e972d7c3e5930001447bb1","MM_0097_gridit.jpg"
"201",5.992859205,10.1346,"58742bf5d53c97000159df8c","AS_0024_Electric corkscrew.jpg"
"202",9.836796125,6.0131,"58742bf5d53c97000159df8c","RA_0072_Terrarium.jpg"
"203",8.014566898,3.2457,"58742bf5d53c97000159df8c","AT_0064.jpg"
"204",8.981077671,2.6955,"58742bf5d53c97000159df8c","BB_0071_deskchair.jpeg"
"205",9.005832672,3.529,"58742bf5d53c97000159df8c","SS_0036_cashmere_scarf.jpg"
"206",7.925483386,3.2458,"58742bf5d53c97000159df8c","AT_0174_resistance_band.jpeg"
"207",7.99492836,2.3637,"58742bf5d53c97000159df8c","BB_0031_waffle_iron.jpeg"
"208",9.87921079,3.378,"58742bf5d53c97000159df8c","RA_0078_StarProjector.jpg"
"209",7.936306,2.7963,"58742bf5d53c97000159df8c","MJK0099_computer_mouse.jpeg"
"210",6.030787627,3.1518,"58742bf5d53c97000159df8c","MM_0016_icescraper.jpg"
"211",8.941648801,2.7166,"58742bf5d53c97000159df8c","RA_0046_NikeRoshes.jpeg"
"212",8.924451669,3.0621,"58742bf5d53c97000159df8c","MM_0092_measuringspoons.jpg"
"213",8.012632529,2.8459,"58742bf5d53c97000159df8c","BB_0114_laundrybasket.jpeg"
"214",8.825427691,3.434,"58742bf5d53c97000159df8c","RA_0048_FruitInfuserWaterBottle.jpg"
"215",7.973152796,2.8343,"58742bf5d53c97000159df8c","AT_0057.jpg"
"216",7.984491984,2.9286,"58742bf5d53c97000159df8c","BB_0097_monopoly.jpeg"
"217",8.927863439,2.5116,"58742bf5d53c97000159df8c","BB_0012_nike_bag.jpeg"
"218",6.082245509,5.2168,"58742bf5d53c97000159df8c","BT_0004_Batteries.jpeg"
"219",6.048464775,2.9786,"58742bf5d53c97000159df8c","RA_0013_hard_drive.jpg"
"220",7.01407512,3.2288,"58742bf5d53c97000159df8c","BB_0026_risk_boardgame.jpeg"
"221",7.895042896,3.4303,"58742bf5d53c97000159df8c","BB_0107_Starrynightposter.jpeg"
"222",8.983680407,2.3971,"58742bf5d53c97000159df8c","BB_0101_binoculars.jpeg"
"223",8.885974884,2.6295,"58742bf5d53c97000159df8c","AT_0178_first_aid_kit.jpeg"
"224",7.051852544,3.351,"58742bf5d53c97000159df8c","BT_0029_Roll_up_piano.jpeg"
"225",6.107876301,3.0619,"58742bf5d53c97000159df8c","AT_0018.jpg"
"226",7.0388937,3.1787,"58742bf5d53c97000159df8c","MJK0042_energy_bars.jpg"
"227",9.79083697,3.3448,"58742bf5d53c97000159df8c","MM_0062_throw.jpg"
"228",8.835589886,2.9675,"58742bf5d53c97000159df8c","AT_0117.jpg"
"229",5.067628225,2.9618,"58742bf5d53c97000159df8c","AT_0172_wine_rack.jpeg"
"230",6.169643402,3.345,"58742bf5d53c97000159df8c","MM_0097_gridit.jpg"
"231",7.024771372,2.9959,"58742bf5d53c97000159df8c","BB_0019_apples_to_apples.jpeg"
"232",7.114147345,2.928,"58742bf5d53c97000159df8c","MJK0143_popcorn.jpeg"
"233",7.92457819,2.6822,"58742bf5d53c97000159df8c","MM_0044_lantern.jpg"
"234",9.862995148,3.2787,"58742bf5d53c97000159df8c","MM_0077_soundmachine.jpg"
"235",9.805898666,9.7293,"58742bf5d53c97000159df8c","RA_0007_keurig.jpg"
"236",8.858486017,3.9313,"58742bf5d53c97000159df8c","RA_0009_quadcopter.jpg"
"237",7.985857328,2.8948,"58742bf5d53c97000159df8c","MJK0022_toaster_oven.jpg"
"238",9.003403187,3.4123,"58742bf5d53c97000159df8c","BB_0116_granolabars.jpeg"
"239",7.991027832,5.5463,"58742bf5d53c97000159df8c","MJK0058_abs_workout_ball.jpg"
"240",6.981171767,3.9669,"58742bf5d53c97000159df8c","MP_0091_Flower_Vase1.jpg"
"241",5.063636303,4.2827,"58742bf5d53c97000159df8c","RA_0060_Wine2Go.jpg"
"242",6.989672979,2.7298,"58742bf5d53c97000159df8c","RA_0077_JBLSpeakers.jpg"
"243",6.924010913,2.6445,"58742bf5d53c97000159df8c","AT_0173_antiburst_workout_ball.jpeg"
"244",6.066100597,2.6789,"58742bf5d53c97000159df8c","MM_0036_pasta.jpg"
"245",5.042939186,2.6332,"58742bf5d53c97000159df8c","AT_0091.jpg"
"246",5.869802634,2.6638,"58742bf5d53c97000159df8c","BB_0134_stain_remover.jpg"
"247",8.989237944,2.7665,"58742bf5d53c97000159df8c","MM_0042_beanbag.jpg"
"248",9.815045993,2.862,"58742bf5d53c97000159df8c","MM_0090_nutella.jpg"
"249",9.837848345,2.7304,"58742bf5d53c97000159df8c","KL_0024_DigitalCamera.jpg"
"250",5.169636408,3.3444,"58742bf5d53c97000159df8c","RA_0005_3d_glasses.jpg"
"251",6.032962799,2.8439,"58742bf5d53c97000159df8c","MM_0084_rolling_duffel.jpg"
"252",2.903276285,5.062,"58742bf5d53c97000159df8c","AT_0040.jpg"
"253",6.023658117,3.4669,"58742bf5d53c97000159df8c","BB_0049_humanbrain_book.jpeg"
"254",9.883855184,2.5947,"58742bf5d53c97000159df8c","MM_0074_pods.jpg"
"255",1.989488602,3.8278,"58742bf5d53c97000159df8c","KL_0085_Stapler.jpg"
"256",8.02038908,3.544,"58742bf5d53c97000159df8c","BB_0018_bananagrams.jpeg"
"257",3.018072446,5.6122,"58742bf5d53c97000159df8c","SS_0005_Luggage.jpg"
"258",4.082403978,3.147,"58742bf5d53c97000159df8c","AT_0190_cooler_tote.jpeg"
"259",6.853311857,2.8121,"58742bf5d53c97000159df8c","MM_0093_glasses.jpg"
"260",6.975132624,3.6787,"58742bf5d53c97000159df8c","RA_0008_fitbit.jpg"
"261",5.055319468,2.6273,"58742bf5d53c97000159df8c","BB_0138_pictureframe.jpeg"
"262",6.864170233,3.3315,"58742bf5d53c97000159df8c","BB_0118_newtonscradle.jpeg"
"263",7.93671449,7.712,"58742bf5d53c97000159df8c","MM_0099_cubeclock.jpg"
"264",6.094594796,7.779,"58742bf5d53c97000159df8c","RA_0012_sd_card.jpg"
"265",6.883895397,3.0122,"58742bf5d53c97000159df8c","MM_0050_gloves.jpg"
"266",6.98833545,7.6295,"58742bf5d53c97000159df8c","MM_0056_chalkboard.jpg"
"267",7.989601294,7.0784,"58742bf5d53c97000159df8c","MM_0083_coffee_table.jpg"
"268",9.032553832,3.1981,"58742bf5d53c97000159df8c","MM_0091_saltpepper.jpg"
"269",7.06643184,2.6954,"58742bf5d53c97000159df8c","AT_0182_Sports_Water_Bottle.jpeg"
"270",7.066007455,2.5618,"58742bf5d53c97000159df8c","AT_0100.jpg"
"271",8.011593819,2.8299,"58742bf5d53c97000159df8c","MP_0044_Coleman_Tent.jpg"
"272",8.912534714,2.5617,"58742bf5d53c97000159df8c","BB_0149_Tomsshoes.jpeg"
"273",9.84767278,2.4956,"58742bf5d53c97000159df8c","BB_0087_lamp.jpeg"
"274",7.033774058,3.1112,"58742bf5d53c97000159df8c","SS_0003_Router.jpg"
"275",9.872948329,3.031,"58742bf5d53c97000159df8c","RA_0014_Hammock.jpg"
"276",8.896139463,2.7281,"58742bf5d53c97000159df8c","BB_0081_sharpie12pack.jpeg"
"277",7.860425313,2.8298,"58742bf5d53c97000159df8c","MJK0049_board_game.jpg"
"278",8.902548949,3.9792,"58742bf5d53c97000159df8c","RA_0054_3DDoodlerPen.jpg"
"279",9.84108448,2.9451,"58742bf5d53c97000159df8c","MM_0024_herbgarden.jpg"
"280",9.027115504,2.5461,"58742bf5d53c97000159df8c","RA_0069_MagicBullet.jpg"
"281",9.025996526,3.7455,"58742bf5d53c97000159df8c","AS_0016_60-hr coil candle.jpg"
"282",7.975371679,4.1009,"58742bf5d53c97000159df8c","BB_0131_packing_cubes.jpg"
"283",6.993571122,3.0454,"58742bf5d53c97000159df8c","MM_0076_coconut_water.jpg"
"284",5.231410662,2.7957,"58742bf5d53c97000159df8c","RA_0051_KINDBars.jpg"
"285",1.025475264,6.2954,"58742bf5d53c97000159df8c","RA_0039_CoffeeSyrup.jpg"
"286",7.985603015,3.3825,"58742bf5d53c97000159df8c","BB_0028_rice_cooker.jpeg"
"287",7.063031197,3.367,"58742bf5d53c97000159df8c","BB_0063_teamaker.jpeg"
"288",8.206430276,2.3785,"58742bf5d53c97000159df8c","BT_0002_Toothpaste.jpeg"
