"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","participant","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","varValue","conflict","confrt"
"14",-1,-1,2.73360000002367,-1,-1,-1,1,-1,2.97619108169798,2.72486812853939,5.0925931981001,0.952381154216786,13,"5607080ed7def20012b733c3",0,"OR1",2.73360000002367,5.0925931981001,2.93650839063856,2.87477974328204,5.0925931981001,0.952381154216786,2.97619108169798,2.72486812853939,TRUE,2.87727630126276,2,8.3813
"15",-1,2.60019999992846,-1,-1,-1,1,-1,-1,1.97089926906364,2.89682519498956,0.965608465608465,0.88624358807922,14,"5607080ed7def20012b733c3",0,"OR1",2.60019999992846,2.89682519498956,1.67989412943522,1.62257475407246,2.89682519498956,0.88624358807922,1.97089926906364,0.965608465608465,TRUE,0.901896800314827,4,2.7912
"16",-1,-1,-1,1.4670000000001,-1,-1,-1,1,8.88888909072472,9.12698473249163,8.88888909072472,8.30687830687831,15,"5607080ed7def20012b733c3",0,"OR1",1.4670000000001,8.30687830687831,8.80291030520485,0.432099236382378,9.12698473249163,8.30687830687831,8.88888909072472,8.88888909072472,FALSE,0.121952226968008,2,3.9265
"17",-1,-1,1.73360000002367,-1,-1,-1,1,-1,2.91005351556041,1.97089926906364,8.96825396825397,1.00917916801002e-07,16,"5607080ed7def20012b733c3",0,"OR1",1.73360000002367,8.96825396825397,3.46230171344898,7.34126967307331,8.96825396825397,1.00917916801002e-07,2.91005351556041,1.97089926906364,TRUE,14.9441006705057,4,4.2041
"18",-1,-1,-1,2.7833000000719,-1,-1,-1,1,1.05820166370856,2.96296276112713,1.98412758963449,3.0291003272647,17,"5607080ed7def20012b733c3",0,"OR1",2.7833000000719,3.0291003272647,2.25859808543372,1.0273363224413,3.0291003272647,1.05820166370856,2.96296276112713,1.98412758963449,TRUE,0.868696307795361,2,5.4008
"19",2.21789999997645,-1,-1,-1,1,-1,-1,-1,4.02116381932819,2.4338622320266,3.10846621397311,3.91534431901558,18,"5607080ed7def20012b733c3",0,"OR1",2.21789999997645,4.02116381932819,3.36970914608587,0.868606230989755,4.02116381932819,2.4338622320266,3.91534431901558,3.10846621397311,TRUE,0.555389416453474,1,3.3885
"20",-1,-1,-1,1.90039999997634,-1,-1,-1,1,0.939153842825107,0.978835777000144,1.97089926906364,9.94709115810495,19,"5607080ed7def20012b733c3",0,"OR1",1.90039999997634,9.94709115810495,3.45899501174846,8.65079486180866,9.94709115810495,0.939153842825107,1.97089926906364,0.978835777000144,TRUE,18.936869963357,2,3.902
"21",-1,-1,-1,2.35329999995201,-1,-1,-1,1,5.99206349206349,6.71957671957672,6.36243426610553,5.9391532373176,20,"5607080ed7def20012b733c3",0,"OR1",2.35329999995201,5.9391532373176,6.25330692876584,0.62169305441451,6.71957671957672,5.9391532373176,6.36243426610553,5.99206349206349,FALSE,0.132085656216093,2,26.3361
"22",-1,1.38339999997606,-1,-1,-1,1,-1,-1,6.65343915343915,7.84391534391534,8.002646108153,7.9629631647988,21,"5607080ed7def20012b733c3",0,"OR1",1.38339999997606,7.84391534391534,7.61574094257657,0.515873554101907,8.002646108153,6.65343915343915,7.9629631647988,7.84391534391534,FALSE,0.416115723186017,1,13.0196
"23",-1,1.70319999992853,-1,-1,-1,1,-1,-1,6.98412698412698,6.9708996727353,10,6.52116402116402,22,"5607080ed7def20012b733c3",0,"OR1",1.70319999992853,6.9708996727353,7.61904766950658,3.17460310732456,10,6.52116402116402,6.98412698412698,6.9708996727353,FALSE,2.56583420260718,1,10.7967
"24",-1,-1,-1,1.90039999997634,-1,-1,-1,1,5.01322731139168,2.67195787379351,3.96825457376147,10,23,"5607080ed7def20012b733c3",0,"OR1",1.90039999997634,10,5.41335993973666,6.11552008035112,10,2.67195787379351,5.01322731139168,3.96825457376147,TRUE,10.2669959895355,3,18.0318
"25",-1,-1,2.31730000007155,-1,-1,-1,1,-1,6.9312167293811,7.93650854201544,6.95767236134363,6.16402156769283,24,"5607080ed7def20012b733c3",1,"XOR",2.31730000007155,6.95767236134363,6.99735480010825,1.25220498920959,7.93650854201544,6.16402156769283,6.95767236134363,6.9312167293811,FALSE,0.527467655844007,2,23.1951
"26",2.60029999995231,-1,-1,-1,1,-1,-1,-1,2.94973544973545,2.51322811873502,1.99735490102617,2.07671977855541,25,"5607080ed7def20012b733c3",1,"XOR",2.60029999995231,2.94973544973545,2.38425956201301,0.753967850296586,2.94973544973545,1.99735490102617,2.51322811873502,2.07671977855541,TRUE,0.193557267773644,5,4.3057
