"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict","scaledTrialNum","scaledMeanValue","scaledValueDiff"
"11",1.96030000000064,-1,-1,-1,1,-1,-1,-1,7.01388888888889,6.75925954182943,7.54629686143663,2.62962977091471,1,10,"55b2d3f2fdf99b525bc839aa",0.3915,1.96030000000064,7.01388888888889,5.98726876576742,2.07870412755896,7.54629686143663,2.62962977091471,7.01388888888889,6.75925954182943,1,0,9.625,FALSE,TRUE,FALSE,FALSE,"XOR",2,-1.4288906138224,0.209068907251264,-0.0372491862869399
"12",-1,3.19790000000034,-1,-1,-1,1,-1,-1,2.02314843071832,2.29166666666667,2.34259287516276,1.92592620849609,1,11,"55b2d3f2fdf99b525bc839aa",0.6599,3.19790000000034,2.29166666666667,2.14583354526096,0.262345773202402,2.34259287516276,1.92592620849609,2.29166666666667,2.02314843071832,1,0,9.625,FALSE,TRUE,FALSE,FALSE,"XOR",4,-1.40002413677549,-1.29769843512051,-1.14850930263484
"13",-1,-1,-1,6.08180000000084,-1,-1,-1,1,5.07870398627387,3.5,2.5370373196072,5.29166666666667,1,12,"55b2d3f2fdf99b525bc839aa",0.6672,6.08180000000084,5.29166666666667,4.10185199313694,1.58641956470631,5.29166666666667,2.5370373196072,5.07870398627387,3.5,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",2,-1.37115765972857,-0.530468337733192,-0.338432154548565
"14",-1,1.50169999999935,-1,-1,-1,1,-1,-1,4.94907463921441,7.52777777777778,3.20370398627387,3.76851908365886,1,13,"55b2d3f2fdf99b525bc839aa",0.5794,1.50169999999935,7.52777777777778,4.86226887173123,3.55401187472873,7.52777777777778,3.20370398627387,4.94907463921441,3.76851908365886,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",4,-1.34229118268165,-0.232201868696366,0.865353901279227
"15",-1,4.54580000000078,2.62080000000083,-1,-1,2,1,-1,5.64814843071832,7.3379635281033,3.76388888888889,3.39351908365885,0,14,"55b2d3f2fdf99b525bc839aa",2.6395,2.62080000000083,3.76388888888889,5.03587998284234,3.06944472701461,7.3379635281033,3.39351908365885,5.64814843071832,3.76388888888889,2,0,9.625,FALSE,FALSE,TRUE,FALSE,"OR",3,-1.31342470563473,-0.164104520315047,0.56889249890474
"16",-1,-1,7.01340000000027,11.1491999999992,-1,-1,1,2,3.06944444444444,6.85185241699219,7.12963019476996,2.00462977091471,0,15,"55b2d3f2fdf99b525bc839aa",4.7403,7.01340000000027,7.12963019476996,4.76388920678033,3.15432131731952,7.12963019476996,2.00462977091471,6.85185241699219,3.06944444444444,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",4,-1.28455822858782,-0.270790379966888,0.62082056111296
"17",-1,2.07140000000049,-1,-1,-1,1,-1,-1,4.54629686143663,1.58796310424805,2.71759287516276,6.98611111111111,1,16,"55b2d3f2fdf99b525bc839aa",0.9739,2.07140000000049,1.58796310424805,3.95949098798964,4.0354934974953,6.98611111111111,1.58796310424805,4.54629686143663,2.71759287516276,1,0,9.625,TRUE,FALSE,FALSE,FALSE,"XOR",4,-1.2556917515409,-0.586308121842551,1.15992755897823
"18",-1,-1,-1,4.60819999999944,-1,-1,-1,1,7.04166666666667,3.76851908365886,3.02314843071832,6.43981509738498,1,17,"55b2d3f2fdf99b525bc839aa",0.7023,4.60819999999944,6.43981509738498,5.0682873196072,2.63117246274595,7.04166666666667,3.02314843071832,6.43981509738498,3.76851908365886,1,0,9.625,FALSE,TRUE,FALSE,FALSE,"XOR",2,-1.22682527449398,-0.151393042992751,0.300754613990626
"19",-1,-1,-1,3.4963000000007,-1,-1,-1,1,2.58796310424805,1.49074088202582,2.81944444444444,4.68981509738498,1,18,"55b2d3f2fdf99b525bc839aa",0.5762,3.4963000000007,4.68981509738498,2.89699088202582,2.39043228714554,4.68981509738498,1.49074088202582,2.81944444444444,2.58796310424805,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",2,-1.19795879744706,-1.00306393549955,0.153468174117315
"20",7.70130000000086,-1,-1,9.21670000000131,1,-1,-1,2,3.98611111111111,3.40740797254774,3.76388888888889,3.10648176405165,0,19,"55b2d3f2fdf99b525bc839aa",1.9919,7.70130000000086,3.98611111111111,3.56597243414985,0.560184902615018,3.98611111111111,3.10648176405165,3.76388888888889,3.40740797254774,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",4,-1.16909232040015,-0.740662125361317,-0.966289343225302
