"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","participant","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","varValue","conflict","confrt"
"11",3.8664000000058,-1,-1,-1,1,-1,-1,-1,9.8941798941799,7.50000020183584,8.67724908092035,8.65079344895782,10,"5af1c4dfaec2b600010a96c9",0,"OR1",3.8664000000058,9.8941798941799,8.68055565647347,1.61816565027523,9.8941798941799,7.50000020183584,8.67724908092035,8.65079344895782,TRUE,0.955830564753756,2,7.2116
"12",-1,-1,-1,17.6997999999971,-1,-1,-1,1,3.96825457376147,6.335978634143,4.48412678229115,9.04761884578321,11,"5af1c4dfaec2b600010a96c9",0,"OR1",17.6997999999971,9.04761884578321,5.95899470899471,4.11816551571801,9.04761884578321,3.96825457376147,6.335978634143,4.48412678229115,TRUE,5.27333254180669,3,2.7192
"13",-1,4.41709999999421,-1,-1,-1,1,-1,-1,5.03968294335421,4.58994729178292,4.85449755633319,4.97354537721664,12,"5af1c4dfaec2b600010a96c9",1,"XOR",4.41709999999421,4.58994729178292,4.86441829217174,0.233686201576623,5.03968294335421,4.58994729178292,4.97354537721664,4.85449755633319,FALSE,0.039353056566175,2,3.261
"14",-1,-1,9.59949999999981,-1,-1,-1,1,-1,0.0793649784471617,0.0529103556638039,5,0.0529103556638039,13,"5af1c4dfaec2b600010a96c9",1,"XOR",9.59949999999981,5,1.29629642244369,4.93827143674174,5,0.0529103556638039,0.0793649784471617,0.0529103556638039,TRUE,6.0967867173052,2,2.5955
"15",-1,-1,3.63329999999723,-1,-1,-1,1,-1,8.01587341954468,0.0529103556638039,9.32539642172516,0.529100630018446,14,"5af1c4dfaec2b600010a96c9",1,"XOR",3.63329999999723,9.32539642172516,4.48082020673802,6.45943495331618,9.32539642172516,0.0529103556638039,8.01587341954468,0.529100630018446,TRUE,23.7296643941542,2,2.5561
"16",1.6072000000031,-1,-1,-1,1,-1,-1,-1,9.92063451696325,9.86772527139654,9.80158770525897,9.86772527139654,15,"5af1c4dfaec2b600010a96c9",1,"XOR",1.6072000000031,9.92063451696325,9.86441819125382,0.0749551009459068,9.92063451696325,9.80158770525897,9.86772527139654,9.86772527139654,TRUE,0.00237660626825302,2,2.5792
"17",-1,-1,-1,4.51740000000564,-1,-1,-1,1,7.9629631647988,8.34656125023252,8.92857203407893,8.51851831668268,16,"5af1c4dfaec2b600010a96c9",1,"XOR",4.51740000000564,8.51851831668268,8.43915369144823,0.652557790174265,8.92857203407893,7.9629631647988,8.51851831668268,8.34656125023252,FALSE,0.160386611894313,1,2.3286
"18",-1,5.19520000000284,-1,-1,-1,1,-1,-1,1.46825437192564,1.97089926906364,1.21693141876705,3.10846621397311,17,"5af1c4dfaec2b600010a96c9",1,"XOR",5.19520000000284,1.97089926906364,1.94113781843236,1.556437860721,3.10846621397311,1.21693141876705,1.97089926906364,1.46825437192564,FALSE,0.703878330091896,2,2.4411
"19",-1,-1,-1,3.89979999999696,-1,-1,-1,1,0.436507936507936,1.56084656084656,6.08465669016359,5.11904782088345,18,"5af1c4dfaec2b600010a96c9",1,"XOR",3.89979999999696,5.11904782088345,3.30026475210038,3.71252258408427,6.08465669016359,0.436507936507936,5.11904782088345,1.56084656084656,FALSE,7.42916301965341,2,2.0536
"20",-1,-1,3.79989999999088,-1,-1,-1,1,-1,3.95502625319062,0.992064097570994,9.97354578088831,2.52645543012669,19,"5af1c4dfaec2b600010a96c9",1,"XOR",3.79989999999088,9.97354578088831,4.36177289044416,7.48236385392554,9.97354578088831,0.992064097570994,3.95502625319062,2.52645543012669,TRUE,15.460255109918,2,2.8132
"21",-1,-1,-1,3.52180000001181,-1,-1,-1,1,2.01058221241784,0.11904792180137,2.48677248677249,3.53174623358187,20,"5af1c4dfaec2b600010a96c9",1,"XOR",3.52180000001181,3.53174623358187,2.03703721364339,1.99294535991797,3.53174623358187,0.11904792180137,2.48677248677249,2.01058221241784,TRUE,2.03859988696415,3,1.8995
