"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","sex","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","NChosen","minValue","maxValue","isBestFirst","isWorstFirst","catChoiceCondition","conflict","multiTarget"
"2562",1.29912334540859,1.77111729700118,-1,3.49120085826144,1,2,-1,3,0.924238725142045,8.25741458248783,7.81106527749594,7.65863591974432,0,1,1021,0,1.29912334540859,0.924238725142045,6.16283862621753,2.79276794169372,8.25741458248783,0.924238725142045,3,0,1,0,1,"OR",2,FALSE
"2563",-1,2.4750322191976,1.11494227219373,2.8269789009355,-1,2,1,3,5.31734317928166,7.59791782924107,8.43374277090097,6.13465940797484,0,2,1021,0,1.11494227219373,8.43374277090097,6.87091579684963,2.08376929873512,8.43374277090097,5.31734317928166,3,0,1,1,0,"OR",2,FALSE
"2564",-1,-1,2.1617649840191,-1,-1,-1,1,-1,8.38011902648133,8.3647413377638,8.71066006747159,2.82421557934253,1,3,1021,0,2.1617649840191,8.71066006747159,7.06993400276481,2.18763475294237,8.71066006747159,2.82421557934253,1,0,1,1,0,"XOR",3,FALSE
"2565",-1,4.45360722905025,-1,-1,-1,1,-1,-1,5.55228889762581,7.45829000101461,6.3190727729302,3.31003956980519,1,4,1021,0,4.45360722905025,7.45829000101461,5.65992281034395,2.39782292089421,7.45829000101461,3.31003956980519,1,0,1,1,0,"XOR",4,FALSE
"2566",-1,1.59988848818466,-1,-1,-1,1,-1,-1,6.34079177658279,9.69621930803572,8.52232301390016,5.68819120332792,1,5,1021,0,1.59988848818466,9.69621930803572,7.56188132546165,2.84578397676542,9.69621930803572,5.68819120332792,1,0,1,1,0,"XOR",1,FALSE
"2567",2.32183072296903,-1,-1,-1,1,-1,-1,-1,8.6648044338474,6.88348943536932,7.53597110896916,5.4123440036526,1,6,1021,0,2.32183072296903,8.6648044338474,7.12415224545962,2.05420291785038,8.6648044338474,5.4123440036526,1,0,1,1,0,"XOR",1,FALSE
"2568",-1,-1,2.43568851379678,-1,-1,-1,1,-1,7.81106527749594,6.90746753246753,9.06006652039367,9.30329558137175,1,7,1021,0,2.43568851379678,9.06006652039367,8.27047372793222,1.37709580458604,9.30329558137175,6.90746753246753,1,0,1,0,0,"XOR",2,FALSE
"2569",3.92025064770132,-1,3.18424443108961,-1,2,-1,1,-1,5.66888982599432,3.20734990107549,6.78745814732143,6.38399198457792,0,8,1021,0,3.18424443108961,6.78745814732143,5.51192246474229,1.70071424343885,6.78745814732143,3.20734990107549,2,0,1,1,0,"OR",4,FALSE
"2570",3.04718667641282,-1,-1,-1,1,-1,-1,-1,8.71066006747159,6.93643941507711,2.42142318131088,7.74456073711445,1,9,1021,0,3.04718667641282,8.71066006747159,6.45327085024351,3.00985228963745,8.71066006747159,2.42142318131088,1,0,1,1,0,"XOR",2,FALSE
"2571",-1,-1,-1,1.87577655212954,-1,-1,-1,1,7.22885330002029,5.40830141538149,6.66023551643669,6.77283348975244,0,10,1021,0,1.87577655212954,6.77283348975244,6.51755593039773,0.948396492830087,7.22885330002029,5.40830141538149,1,0,1,0,0,"OR",2,FALSE
"2572",4.81085766712204,4.21066709933802,-1,2.89892495796084,3,2,-1,1,9.40681754768669,7.4037943257914,7.55194329596185,7.34771332183442,0,11,1021,0,2.89892495796084,7.34771332183442,7.92756712281859,1.97233389982414,9.40681754768669,7.34771332183442,3,0,1,0,1,"OR",2,FALSE
"2573",1.21832046378404,2.69830795703456,-1,-1,1,2,-1,-1,7.74194494470373,7.42694012530438,4.58163174715909,5.03436200030438,0,12,1021,0,1.21832046378404,7.74194494470373,6.1962197043679,2.06096698711445,7.74194494470373,4.58163174715909,2,0,1,1,0,"OR",3,FALSE
"2574",3.57233035285026,-1,-1,-1,1,-1,-1,-1,8.24754591112013,6.65036684506899,5.22975376674107,1.98751870687906,1,13,1021,0,3.57233035285026,8.24754591112013,5.52879630745231,3.62499947155709,8.24754591112013,1.98751870687906,1,0,1,1,0,"XOR",3,FALSE
"2575",2.85002290410921,-1,-1,-1,1,-1,-1,-1,9.1574849710836,7.74456073711445,8.28931932325487,9.27804922128653,1,14,1021,0,2.85002290410921,9.1574849710836,8.61735356318486,0.880927544135552,9.27804922128653,7.74456073711445,1,0,1,0,0,"XOR",4,FALSE
"2576",-1,4.46520509384573,3.7691526976414,-1,-1,2,1,-1,8.0473585252638,7.64698375355114,7.70068676440747,7.29290058086445,0,15,1021,0,3.7691526976414,7.70068676440747,7.67198240602171,0.500501492322781,8.0473585252638,7.29290058086445,2,0,1,0,0,"OR",3,FALSE
"2577",2.02797621162608,-1,-1,-1,1,-1,-1,-1,8.38598474279627,7.42694012530438,7.62966403713474,8.13728629768669,1,16,1021,0,2.02797621162608,8.38598474279627,7.89496880073052,0.654687922754328,8.38598474279627,7.42694012530438,1,0,1,1,0,"XOR",4,FALSE
"2578",-1,2.97028963780031,-1,2.59439715789631,-1,2,-1,1,6.82142381544237,7.26349273285309,4.09434132761769,6.88348943536932,0,17,1021,0,2.59439715789631,6.88348943536932,6.26568682782062,1.33040787337662,7.26349273285309,4.09434132761769,2,0,1,0,0,"OR",3,FALSE
"2579",-1,-1,4.00172972586006,-1,-1,-1,1,-1,7.87856064833604,7.26349273285309,7.06389984527192,7.4739847554789,1,18,1021,0,4.00172972586006,7.06389984527192,7.41998449548498,0.611434870468074,7.87856064833604,7.06389984527192,1,0,1,0,1,"XOR",2,FALSE
"2580",3.07056849636137,2.15864119213074,-1,-1,2,1,-1,-1,8.83324561181007,6.00236372514205,5.83459631189123,6.09280672940341,0,19,1021,0,2.15864119213074,6.00236372514205,6.69075309456169,2.8566566896645,8.83324561181007,5.83459631189123,2,0,1,0,0,"OR",2,FALSE
"2581",-1,-1,-1,2.50305916136131,-1,-1,-1,1,5.71351682984984,8.01085633116883,7.2535447950487,9.30515834263393,1,20,1021,0,2.50305916136131,9.30515834263393,7.57076907467533,2.3125190239448,9.30515834263393,5.71351682984984,1,0,1,1,0,"XOR",2,FALSE
"2582",-1,-1,4.40108251199126,-1,-1,-1,1,-1,7.10488059303977,8.17370922534497,9.7037496195211,7.51655083198052,1,21,1021,0,4.40108251199126,9.7037496195211,8.12472256747159,2.10536940273268,9.7037496195211,7.10488059303977,1,0,1,1,0,"XOR",3,FALSE
